Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
SPZ DEKK & MOTOR AS,930634395,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,18141289,16853990,1287299,"7,10 %",1689,322676,-320987,"-1,77 %",966312,"5,33 %",964638,"5,32 %",964638,1593363,3708015,5301378,"18,20 %",20000,34067,"2831,59 %","0,64 %",5267311,"15461,62 %","99,36 %",5301378,3954823,1312489,"282,52 %",2591613,1
S-SENTRUM AS,985712050,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,11185558,10471697,713861,"6,38 %",2851,107295,-104444,"-0,93 %",609417,"5,45 %",609417,"5,45 %",609417,1092516,638727,1731243,"35,20 %",100000,-976256,"-62,42 %","-56,39 %",2707499,"-277,33 %","156,39 %",1731243,345676,2361822,"27,04 %",1398195,1
ST SERVICE AS,990700427,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,15,17364351,15587926,1776425,"10,23 %",73630,227967,-154337,"-0,89 %",1622088,"9,34 %",1260520,"7,26 %",1260520,12806030,8533534,21339564,"5,91 %",100000,16189748,"7,79 %","75,87 %",5149816,"31,81 %","24,13 %",21339564,2253569,2896248,"294,64 %",1157623,1
STADSSALG AS,991743634,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,28,772006339,714623189,57383150,"7,43 %",23168171,7999909,15168262,"1,96 %",72551412,"9,40 %",55150140,"7,14 %",55150140,1505237599,91490492,1596728090,"3,45 %",1247965540,1368144076,"4,03 %","85,68 %",228584014,"16,71 %","14,32 %",1596728090,119476680,109107334,"83,85 %",27571655,1
STAMNESHAGEN AUTO AS,934170709,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,14396084,13642143,753941,"5,24 %",148725,566,148159,"1,03 %",902100,"6,27 %",703583,"4,89 %",,223366,5595500,5818866,"12,09 %",100000,3677624,"19,13 %","63,20 %",2141241,"58,22 %","36,80 %",5818865,0,2141241,"261,32 %",1028292,1
STAMSAAS FRITID AS,889736992,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,35,176557347,181603585,-5046238,"-2,86 %",788739,9466450,-8677711,"-4,91 %",-13723949,"-7,77 %",-13056358,"-7,39 %",-13056358,17830866,127664865,145495732,"-8,97 %",11706729,15831525,"-82,47 %","10,88 %",129664207,"819,03 %","89,12 %",145495732,0,129664207,"98,46 %",5044496,1
STANGE SERVICESENTER AS,999056733,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,19247552,16950520,2297032,"11,93 %",146963,23236,123728,"0,64 %",2420760,"12,58 %",1861067,"9,67 %",1861067,439161,6927801,7366961,"25,26 %",100000,4032541,"46,15 %","54,74 %",3334420,"82,69 %","45,26 %",7366961,191921,3142499,"220,46 %",2405944,1
STANGNES BILSKADE AS,928857670,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,37373701,35723848,1649853,"4,41 %",50920,1317929,-1267009,"-3,39 %",382844,"1,02 %",382844,"1,02 %",382844,13002130,6910050,19912180,"1,92 %",4000000,-2791514,"-13,71 %","-14,02 %",22703695,"-813,31 %","114,02 %",19912180,10680386,12023309,"57,47 %",1698805,1
STAR AUTOCO BIL AS,932750805,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,9272249,9623326,-351076,"-3,79 %",2599,256807,-254208,"-2,74 %",-605284,"-6,53 %",-605284,"-6,53 %",-605284,492356,3313584,3805940,"-15,90 %",30000,-575284,"105,21 %","-15,12 %",4381224,"-761,58 %","115,12 %",3805940,3028494,1352731,"244,96 %",1854450,0
STAR BIL AS,995494698,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,37,205899434,205099864,799570,"0,39 %",33020,685113,-652093,"-0,32 %",147477,"0,07 %",122142,"0,06 %",,4292487,65708478,70000965,"0,17 %",510000,22627024,"0,54 %","32,32 %",47373940,"209,37 %","67,68 %",70000964,14190278,33183662,"198,01 %",5564850,1
STAR BILSKADE AGDER AS,966356359,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,25745217,24273387,1471830,"5,72 %",202446,4573,197873,"0,77 %",1669704,"6,49 %",1327080,"5,15 %",,445549,4731372,5176922,"25,63 %",174000,174000,"762,69 %","3,36 %",5002922,"2875,24 %","96,64 %",5176922,0,5002922,"94,57 %",3218152,1
STAR BILSKADE VESTFOLD OG TELEMARK AS,961915937,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,38,70187781,66083353,4104428,"5,85 %",1351214,4624,1346590,"1,92 %",5451018,"7,77 %",4543348,"6,47 %",,5012763,20221041,25233804,"18,01 %",100000,100000,"4543,35 %","0,40 %",25133804,"25133,80 %","99,60 %",25233804,10076505,15057298,"134,29 %",1847047,0
STAR MOTOR AS,919862114,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,19,84412055,77395644,7016411,"8,31 %",45516,1409138,-1363623,"-1,62 %",5652788,"6,70 %",4405054,"5,22 %",4405054,16803020,21645508,38448527,"11,46 %",300000,13714326,"32,12 %","35,67 %",24734202,"180,35 %","64,33 %",38448527,15962415,8771786,"246,76 %",4442740,1
STARTAX MASKIN-TEKNISK AS,986400400,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,9,46184506,42226075,3958431,"8,57 %",1637486,405428,1232058,"2,67 %",5190490,"11,24 %",4178391,"9,05 %",,1038630,45710906,46749536,"8,94 %",150000,36142402,"11,56 %","77,31 %",10607135,"29,35 %","22,69 %",46749537,10888,10596247,"431,39 %",5131612,1
Stavanger Auto AS,916204167,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,12680588,9781679,2898909,"22,86 %",467973,7291,460682,"3,63 %",3359591,"26,49 %",2614137,"20,62 %",2614137,1862447,16424874,18287321,"14,29 %",100000,16054221,"16,28 %","87,79 %",2233101,"13,91 %","12,21 %",18287321,0,2233101,"735,52 %",1268059,1
STAVANGER DEKKSENTER AS,994702203,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,7,15259190,13959666,1299524,"8,52 %",11449,195454,-184005,"-1,21 %",1115519,"7,31 %",863932,"5,66 %",863932,3381087,4172321,7553408,"11,44 %",519000,2079899,"41,54 %","27,54 %",5473509,"263,16 %","72,46 %",7553408,3323916,2149593,"194,10 %",2179884,1
STEGLET AUTO AS,994943561,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,10857680,9869329,988351,"9,10 %",78476,70601,7875,"0,07 %",996226,"9,18 %",748046,"6,89 %",,140399,3772184,3912583,"19,12 %",100000,2079015,"35,98 %","53,14 %",1833568,"88,19 %","46,86 %",3912583,0,1833568,"205,73 %",1551097,1
STEINAR SKAANSAR OG SØNN AS,928924246,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,15721243,12921052,2800191,"17,81 %",1062490,2986,1059504,"6,74 %",3859695,"24,55 %",3009462,"19,14 %",,5723031,27066333,32789364,"9,18 %",6750000,29475377,"10,21 %","89,89 %",3313987,"11,24 %","10,11 %",32789364,216000,3097987,"873,67 %",1965155,0
STEINKJER BIL AS,976970411,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,158418399,154879636,3538763,"2,23 %",5354,1213703,-1208349,"-0,76 %",2330414,"1,47 %",1817664,"1,15 %",,7924341,41467272,49391613,"3,68 %",2792641,19846259,"9,16 %","40,18 %",29545354,"148,87 %","59,82 %",49391613,424914,29120440,"142,40 %",7200836,1
STEINKJER MOTORSENTER AS,930165425,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,17032539,15732737,1299802,"7,63 %",11374,934,10440,"0,06 %",1310242,"7,69 %",1021834,"6,00 %",,3157256,6390057,9547313,"10,70 %",6931722,7977995,"12,81 %","83,56 %",1569318,"19,67 %","16,44 %",9547313,24795,1544523,"413,72 %",2838757,1
STJØRDAL AUTO AS,928162281,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,8,180331530,171843043,8488486,"4,71 %",2467,860540,-858073,"-0,48 %",7630413,"4,23 %",5942520,"3,30 %",,1220499,32062480,33282979,"17,85 %",14430,8429732,"70,49 %","25,33 %",24853247,"294,83 %","74,67 %",33282979,17642378,7210869,"444,64 %",22541441,0
STJØRDAL AUTOSALG AS,987013168,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,12,127965586,123550912,4414674,"3,45 %",80750,1270643,-1189894,"-0,93 %",3224780,"2,52 %",2512669,"1,96 %",,10021298,35491080,45512378,"5,52 %",1100000,30505461,"8,24 %","67,03 %",15006917,"49,19 %","32,97 %",45512377,7235130,7771787,"456,67 %",10663799,0
STJØRDAL BILGLASS AS,992848170,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,12739058,12154637,584421,"4,59 %",110152,10290,99862,"0,78 %",684283,"5,37 %",519176,"4,08 %",519176,1240070,3292143,4532213,"11,46 %",1300000,1442587,"35,99 %","31,83 %",3089626,"214,17 %","68,17 %",4532213,0,3089626,"106,55 %",1819865,1
STOA AUTOREP AS,920918204,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,11,16267697,16294406,-26709,"-0,16 %",29108,89966,-60858,"-0,37 %",-87567,"-0,54 %",-69696,"-0,43 %",-69696,1964890,1554374,3519264,"-1,98 %",30000,837637,"-8,32 %","23,80 %",2681627,"320,14 %","76,20 %",3519264,904711,1776916,"87,48 %",1478882,1
STORBIL OG DELER AS,930096911,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",2024,6,20171845,19021937,1149908,"5,70 %",20527,376145,-355618,"-1,76 %",794290,"3,94 %",615872,"3,05 %",,5640753,4420737,10061490,"6,12 %",30000,1346169,"45,75 %","13,38 %",8715321,"647,42 %","86,62 %",10061490,2739162,5976159,"73,97 %",3361974,1
STORBILSERVICE AS,980059227,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,15346803,15308869,37934,"0,25 %",0,0,-3563,"-0,02 %",34371,"0,22 %",25751,"0,17 %",25751,431248,3941084,4372332,"0,59 %",1350000,1484557,"1,73 %","33,95 %",2887774,"194,52 %","66,05 %",4372332,1023823,1863951,"211,44 %",1705200,0
STORBILVASKEN HAMAR AS,994829998,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,28027321,24144461,3882860,"13,85 %",223781,172310,51471,"0,18 %",3934331,"14,04 %",3067622,"10,95 %",3067622,3525964,12362705,15888669,"19,31 %",2500000,5774282,"53,13 %","36,34 %",10114387,"175,16 %","63,66 %",15888669,1859290,8255097,"149,76 %",4671220,1
STORD DEKKSERVICE AS,950470631,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,36,57513599,54700871,2812728,"4,89 %",53138,328969,-275831,"-0,48 %",2536896,"4,41 %",1980046,"3,44 %",,2262969,17893817,20156786,"9,82 %",61251,7390673,"26,79 %","36,67 %",12766113,"172,73 %","63,33 %",20156786,3214290,9551823,"187,33 %",1597600,1
STORDAL AUTOCENTER AS,962383882,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9307457,8875033,432424,"4,65 %",-5781,19326,-25107,"-0,27 %",407316,"4,38 %",407316,"4,38 %",,118679,1044577,1163256,"35,02 %",100000,185408,"219,69 %","15,94 %",977849,"527,40 %","84,06 %",1163256,58900,918949,"113,67 %",1551243,1
STORDSPEEDSHOP AS,912389073,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,9,19098279,19023713,74565,"0,39 %",0,0,-282609,"-1,48 %",-208044,"-1,09 %",-208044,"-1,09 %",-208044,100100,6485339,6585439,"-3,16 %",560000,-389902,"53,36 %","-5,92 %",6975342,"-1789,00 %","105,92 %",6585439,1087500,5887842,"110,15 %",2122031,1
STORFJORD AUTO AS,993606669,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,7755664,7319765,435898,"5,62 %",41343,4137,37206,"0,48 %",473104,"6,10 %",369020,"4,76 %",,124838,4375287,4500125,"8,20 %",110000,2948263,"12,52 %","65,52 %",1551862,"52,64 %","34,48 %",4500125,0,1551862,"281,94 %",1551133,1
STORFJORD BILSERVICE AS,998915104,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,7776651,7774120,2531,"0,03 %",3170,11238,-8068,"-0,10 %",-5537,"-0,07 %",-5537,"-0,07 %",-5537,922253,1041107,1963359,"-0,28 %",150000,772101,"-0,72 %","39,33 %",1191258,"154,29 %","60,67 %",1963359,223297,967961,"107,56 %",972081,1
STORGATEN BIL AS,952429477,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,20074536,18484906,1589631,"7,92 %",15012,1147,13865,"0,07 %",1603495,"7,99 %",1250779,"6,23 %",1250779,596540,3642379,4238919,"29,51 %",100000,760432,"164,48 %","17,94 %",3478487,"457,44 %","82,06 %",4238919,18326,3460161,"105,27 %",1544195,0
STORHAMAR AUTO AS,929455975,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,8221274,9197612,-976338,"-11,88 %",2429,3085,-657,"-0,01 %",-976995,"-11,88 %",-976995,"-11,88 %",,228111,282398,510509,"-191,38 %",200000,-1046154,"93,39 %","-204,92 %",1556662,"-148,80 %","304,92 %",510508,354731,1201932,"23,50 %",822127,1
STORHAMAR BIL AS,925787779,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,16057695,16054157,3538,"0,02 %",28,836,-808,"-0,01 %",2730,"0,02 %",-10119,"-0,06 %",-10119,41069,596565,637633,"-1,59 %",24430,-14625,"69,19 %","-2,29 %",652258,"-4459,88 %","102,29 %",637633,0,652258,"91,46 %",2293956,1
STORSLETT AUTO AS,914283698,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,19,32100530,30260527,1840003,"5,73 %",185672,349936,-164264,"-0,51 %",1675739,"5,22 %",1226826,"3,82 %",1226826,8907342,10790272,19697614,"6,23 %",3982190,7883567,"15,56 %","40,02 %",11814047,"149,86 %","59,98 %",19697614,4760459,7053588,"152,98 %",1689502,1
Storøs Auto A/S,946093726,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,9641351,8475586,1165765,"12,09 %",60532,212,60321,"0,63 %",1226085,"12,72 %",951752,"9,87 %",951752,126466,5657693,5784159,"16,45 %",104000,3745758,"25,41 %","64,76 %",2038401,"54,42 %","35,24 %",5784159,5554,2032847,"278,31 %",964135,0
STOVNERBRUA SERVICESENTER AS,924772131,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,10847593,10758052,89542,"0,83 %",7304,563,6741,"0,06 %",96283,"0,89 %",75101,"0,69 %",75101,174882,641376,816258,"9,20 %",30000,-517708,"-14,51 %","-63,42 %",1333966,"-257,67 %","163,42 %",816258,0,1312784,"48,86 %",1355949,1
STRAND DEKKSENTER AS,991456848,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,7,15915591,14440322,1475269,"9,27 %",17251,184942,-167691,"-1,05 %",1307578,"8,22 %",1018755,"6,40 %",1018755,1021134,4993890,6015024,"16,94 %",100000,1025078,"99,38 %","17,04 %",4989946,"486,79 %","82,96 %",6015024,1400581,3589365,"139,13 %",2273656,1
STRANDA BIL AS,993057819,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,6371488,6052214,319274,"5,01 %",4729,83408,-78679,"-1,23 %",240595,"3,78 %",155737,"2,44 %",,236257,2723009,2959266,"5,26 %",100000,420966,"37,00 %","14,23 %",2538300,"602,97 %","85,77 %",2959266,0,2538300,"107,28 %",796436,0
STRANDA MEKANISKE AS,911679663,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,20,17677868,17034374,643494,"3,64 %",65845,7550,58295,"0,33 %",701789,"3,97 %",540807,"3,06 %",,672239,4172172,4844412,"11,16 %",30000,2401126,"22,52 %","49,56 %",2443286,"101,76 %","50,44 %",4844412,0,2443286,"170,76 %",883893,0
STRANDVEIEN AUTO AS,975964310,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,36,164296631,166579965,-2283333,"-1,39 %",585912,2751502,-2165590,"-1,32 %",-4448923,"-2,71 %",-3613977,"-2,20 %",-3613977,23252350,46458849,69711199,"-5,18 %",18150802,30748340,"-11,75 %","44,11 %",38962859,"126,72 %","55,89 %",69711199,15769712,23193147,"200,31 %",4563795,1
STRANDVEIEN AUTO STJØRDAL AS,958648499,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,13,67789497,67082712,706785,"1,04 %",197151,476951,-279800,"-0,41 %",426985,"0,63 %",330849,"0,49 %",330849,1747462,22934470,24681932,"1,34 %",1039024,10493612,"3,15 %","42,52 %",14188320,"135,21 %","57,48 %",24681932,4021220,10167100,"225,58 %",5214577,1
STRANDVEIEN AUTO VERDAL AS,935358035,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,11,54020659,55575693,-1555034,"-2,88 %",14839,1257020,-1242181,"-2,30 %",-2797215,"-5,18 %",-2797215,"-5,18 %",-2797215,2080625,15507424,17588049,"-15,90 %",581410,-531305,"526,48 %","-3,02 %",18119355,"-3410,35 %","103,02 %",17588049,0,18119355,"85,58 %",4910969,1
STRAUME AUTOSENTER AS,963166834,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,78712809,78333201,379609,"0,48 %",435621,12936,422685,"0,54 %",802294,"1,02 %",623253,"0,79 %",623253,271835,10135082,10406917,"5,99 %",60000,4200639,"14,84 %","40,36 %",6206278,"147,75 %","59,64 %",10406917,222574,5983704,"169,38 %",8745868,1
STRAUMSNES SERVICESENTER AS,929417240,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5030375,4231393,798982,"15,88 %",70476,1326,69151,"1,37 %",868133,"17,26 %",675221,"13,42 %",,573778,3502855,4076633,"16,56 %",150000,2795988,"24,15 %","68,59 %",1280645,"45,80 %","31,41 %",4076633,5120,1275525,"274,62 %",1006075,0
STRAX AUTO-SERVICE AS,992358734,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,9849097,8554083,1295015,"13,15 %",176478,3109,173369,"1,76 %",1468383,"14,91 %",1144420,"11,62 %",1144420,241432,8177095,8418527,"13,59 %",100000,6511331,"17,58 %","77,35 %",1907196,"29,29 %","22,65 %",8418527,0,1907196,"428,75 %",1231137,0
STRYN MEK VERKSTED AS,920450806,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,20,46117550,46420743,-303194,"-0,66 %",21002,478485,-457483,"-0,99 %",-760677,"-1,65 %",-690576,"-1,50 %",-690576,757952,12589144,13347096,"-5,17 %",3996783,3345410,"-20,64 %","25,06 %",10001686,"298,97 %","74,94 %",13347096,3879384,6122302,"205,63 %",2305878,1
STRØMMEN AUTO CARE AS,823153392,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,6498953,6094634,404319,"6,22 %",328,4499,-4171,"-0,06 %",400148,"6,16 %",392517,"6,04 %",,852835,789470,1642305,"23,90 %",30000,-582780,"-67,35 %","-35,49 %",2225085,"-381,81 %","135,49 %",1642305,1079143,1145942,"68,89 %",541579,0
STRØMMEN BILFORMIDLING AS,992381736,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,92036001,90294429,1741572,"1,89 %",,790496,-790496,"-0,86 %",951076,"1,03 %",740981,"0,81 %",,3051667,11972499,15024166,"4,93 %",805000,4386451,"16,89 %","29,20 %",10637715,"242,51 %","70,80 %",15024166,95994,10541721,"113,57 %",15339334,1
STRØMMEN BILSERVICE AS,980478025,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,5849657,5572264,277393,"4,74 %",63793,3077,60716,"1,04 %",338108,"5,78 %",261145,"4,46 %",261145,77966,3176604,3254569,"8,02 %",100000,2332620,"11,20 %","71,67 %",921949,"39,52 %","28,33 %",3254569,0,921949,"344,55 %",1169931,1
STRØMMEN BILVERKSTED AS,914144949,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,10484801,9171743,1313059,"12,52 %",15888,24788,-8899,"-0,08 %",1304159,"12,44 %",1017038,"9,70 %",,61018,4958014,5019032,"20,26 %",100000,2435454,"41,76 %","48,52 %",2583578,"106,08 %","51,48 %",5019032,0,2583578,"191,90 %",2096960,1
STØREN BILSENTER AS,996209008,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,14,73489846,72748775,741071,"1,01 %",441088,89105,351983,"0,48 %",1093054,"1,49 %",921552,"1,25 %",921552,2614592,14851172,17465764,"5,28 %",509000,13293803,"6,93 %","76,11 %",4171961,"31,38 %","23,89 %",17465764,668949,3503012,"423,95 %",5249275,1
STØREN DEKKSERVICE AS,958507739,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,9,14342981,14368114,-25133,"-0,18 %",0,64347,-64347,"-0,45 %",-89480,"-0,62 %",-70462,"-0,49 %",,1080109,6464264,7544373,"-0,93 %",1070507,4388958,"-1,61 %","58,18 %",3155415,"71,89 %","41,82 %",7544373,1749655,1405760,"459,84 %",1593665,1
STÅL OG GUMMI AS,918277986,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,12,20568440,21401206,-832766,"-4,05 %",35024,82716,-47691,"-0,23 %",-880458,"-4,28 %",-699102,"-3,40 %",,5300955,7567486,12868441,"-5,43 %",850000,5302405,"-13,18 %","41,20 %",7566036,"142,69 %","58,80 %",12868440,0,7566036,"100,02 %",1714037,0
STÅLERØD BILTEKNIKK AS,928033155,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,12155096,9226711,2928385,"24,09 %",40516,110019,-69503,"-0,57 %",2858883,"23,52 %",2229928,"18,35 %",,729370,5818515,6547885,"34,06 %",48000,2815212,"79,21 %","42,99 %",3732673,"132,59 %","57,01 %",6547885,23150,3709523,"156,85 %",1215510,1
STÅRHEIM BILVERKSTED AS,950675764,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,28,74992163,75097514,-105350,"-0,14 %",193151,167383,25768,"0,03 %",-79582,"-0,11 %",-67244,"-0,09 %",-67244,4627827,21732784,26360611,"-0,26 %",1298713,19061690,"-0,35 %","72,31 %",7298921,"38,29 %","27,69 %",26360611,0,7298921,"297,75 %",2678292,1
SUBARU NORGE AS,924563273,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,5,126721000,129196000,-2475000,"-1,95 %",361000,807000,-446000,"-0,35 %",-2921000,"-2,31 %",-2321000,"-1,83 %",,46647000,60305000,106952000,"-2,17 %",70000000,80347000,"-2,89 %","75,12 %",26605000,"33,11 %","24,88 %",106952000,0,26605000,"226,67 %",25344200,0
SULDAL BILLAG SERVICE AS,986147365,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,10181085,9641859,539226,"5,30 %",2347,895,1452,"0,01 %",540678,"5,31 %",421729,"4,14 %",421729,457284,1895035,2352320,"17,93 %",200000,394998,"106,77 %","16,79 %",1957322,"495,53 %","83,21 %",2352320,0,1957322,"96,82 %",2036217,1
